ghi,dhi,precip,timestamp_utc,temp,app_temp,dni,snow_depth,wind_cdir,rh,pod,pop,ozone,clouds_hi,clouds,vis,wind_spd,wind_cdir_full,slp,datetime,ts,pres,dewpt,uv,clouds_mid,wind_dir,snow,clouds_low,solar_rad,wind_gust_spd,timestamp_local,description(output),code,icon
0,0,0,2025-01-15T12:00:00,25.9,18.7,0,0,NNW,51,n,0,295,0,3,14.9,6.3,north-northwest,1030,2025-01-15:12,1736942400,1021,10.4,0,0,350,0,0,0,11.9,2025-01-15T07:00:00,Few clouds,801,c02n
385,87,0,2025-01-15T15:00:00,29.3,22.8,748,0,NNW,41,d,0,300,0,1,14.9,6.3,north-northwest,1031,2025-01-15:15,1736953200,1023,8.6,2,0,360,0,0,384.62994,11.9,2025-01-15T10:00:00,Clear Sky,800,c01d
542,101,0,2025-01-15T18:00:00,36.5,32,831,0,NNW,30,d,0,302,0,2,14.9,5.4,north-northwest,1028,2025-01-15:18,1736964000,1020,8.1,3,0,340,0,0,542.3792,9.6,2025-01-15T13:00:00,Few clouds,801,c02d
193,65,0,2025-01-15T21:00:00,38.3,35.6,581,0,NW,28,d,0,303,0,0,14.9,3.6,northwest,1027,2025-01-15:21,1736974800,1019,8.1,2,0,310,0,0,192.98,6.9,2025-01-15T16:00:00,Clear Sky,800,c01d
0,0,0,2025-01-16T00:00:00,29.3,27.5,0,0,W,46,n,0,309,0,2,14.9,0,west,1028,2025-01-16:00,1736985600,1020,11.1,0,0,280,0,0,0,2,2025-01-15T19:00:00,Few clouds,801,c02n
0,0,0,2025-01-16T03:00:00,24.8,22.6,0,0,W,56,n,0,319,0,3,14.9,0,west,1027,2025-01-16:03,1736996400,1018,11.5,0,0,260,0,0,0,1.1,2025-01-15T22:00:00,Few clouds,801,c02n
0,0,0,2025-01-16T06:00:00,23.5,21.2,0,0,W,60,n,0,349,0,2,14.9,0,west,1026,2025-01-16:06,1737007200,1018,11.7,0,0,260,0,0,0,1.8,2025-01-16T01:00:00,Few clouds,801,c02n
0,0,0,2025-01-16T09:00:00,22.5,19.9,0,0,WSW,63,n,0,340,0,2,14.9,0,west-southwest,1024,2025-01-16:09,1737018000,1016,11.8,0,0,240,0,0,0,2,2025-01-16T04:00:00,Few clouds,801,c02n
0,0,0,2025-01-16T12:00:00,21.9,23.4,0,0,SSW,65,n,0,332,0,3,14.9,0.9,south-southwest,1023,2025-01-16:12,1737028800,1015,12,0,0,210,0,0,0,3.1,2025-01-16T07:00:00,Few clouds,801,c02n
387,88,0,2025-01-16T15:00:00,35.1,31.3,749,0,SW,42,d,0,326,0,3,14.9,4.5,southwest,1021,2025-01-16:15,1737039600,1013,14.4,2,40,220,0,0,386.7277,8.5,2025-01-16T10:00:00,Few clouds,801,c02d
546,101,0,2025-01-16T18:00:00,46.6,46.6,832,0,SW,34,d,0,323,0,35,14.9,8.9,southwest,1016,2025-01-16:18,1737050400,1008,19.8,3,100,220,0,0,531.97064,15.7,2025-01-16T13:00:00,Scattered clouds,802,c02d
196,65,0,2025-01-16T21:00:00,49.5,49.5,585,0,WSW,40,d,0,349,0,5,14.9,8.1,west-southwest,1014,2025-01-16:21,1737061200,1006,26.2,2,0,240,0,2,196.38333,14.3,2025-01-16T16:00:00,Few clouds,801,c02d
0,0,0,2025-01-17T00:00:00,39.9,37.6,0,0,WSW,64,n,0,360,0,20,14.9,3.6,west-southwest,1013,2025-01-17:00,1737072000,1005,28.8,0,0,240,0,75,0,8.3,2025-01-16T19:00:00,Few clouds,801,c02n
